#Name	Orbits	Mass(kg)	Diam(m)	Perihelion(m)	Aphelion(m)	orbPeriod(days)	rotationalPeriod(hours)	axialtilt(deg)	orbinclin(deg)
Body487	Sun	8.0622e+27	1.603439e+08	1.389907e+12	1.974804e+12	13776.90	912.63	57.93	3.19
Body488	Sun	9.3421e+27	1.916393e+08	4.518706e+12	6.468272e+12	81291.91	565.56	64.67	17.26
Body489	Sun	2.0610e+27	1.160190e+08	2.692987e+12	3.834726e+12	37228.16	151.91	53.76	25.39
Body490	Sun	9.9287e+26	7.554933e+07	1.444642e+12	1.515947e+12	11370.96	787.43	77.29	4.55
Body491	Sun	3.0539e+27	1.188801e+08	5.277528e+12	5.583664e+12	79899.89	24.67	39.22	4.16
Body492	Sun	2.4500e+27	1.017134e+08	3.561872e+12	4.432942e+12	50459.44	786.78	58.56	15.72
Body493	Sun	8.6792e+25	5.211608e+07	1.438408e+12	1.620167e+12	11940.12	883.27	49.00	15.67
Body494	Sun	9.8429e+27	1.804074e+08	2.909264e+12	2.994436e+12	32019.63	242.96	54.73	0.56
Body495	Sun	7.9653e+27	1.851566e+08	4.412882e+12	5.779026e+12	72629.52	778.58	18.63	28.17
Body496	Sun	3.0897e+27	1.343330e+08	4.338822e+12	4.563895e+12	59294.41	283.49	55.14	18.17
Body497	Sun	9.8872e+26	9.932886e+07	5.036302e+12	6.695949e+12	89701.96	554.00	42.00	15.59
Body498	Sun	4.7634e+27	1.635995e+08	1.260873e+11	1.501321e+11	324.05	274.23	2.77	23.06
Body499	Sun	2.3501e+27	1.074766e+08	4.591028e+12	5.842639e+12	75229.01	76.80	18.28	20.58
Body500	Sun	4.0000e+27	1.255052e+08	1.847152e+12	2.430926e+12	19751.63	140.90	51.53	22.16
Body501	Sun	7.4174e+26	6.707745e+07	2.352904e+11	3.453699e+11	987.67	391.22	11.52	28.99
Body502	Sun	9.9492e+27	2.241272e+08	3.553142e+12	4.299676e+12	49121.11	756.93	41.56	10.38
Body503	Sun	2.3306e+27	1.023897e+08	2.927803e+12	4.236887e+12	42808.10	834.31	22.08	25.34
Body504	Sun	7.6916e+27	1.489014e+08	2.954419e+12	3.410342e+12	35842.89	202.76	87.11	22.48
Body505	Sun	3.5615e+27	1.499152e+08	4.355412e+12	6.093254e+12	75391.29	656.48	8.67	24.66
Body506	Sun	5.3216e+27	1.476959e+08	2.956909e+12	3.680079e+12	38166.87	472.37	42.08	14.25
Body507	Sun	9.0059e+27	1.781269e+08	3.643908e+12	5.221179e+12	58918.87	562.59	7.35	17.56
Body508	Sun	4.8558e+27	1.687249e+08	3.676041e+12	4.121613e+12	48604.43	332.05	72.48	18.71
Body509	Sun	7.0394e+27	1.689132e+08	4.547902e+12	4.975613e+12	65603.31	974.25	29.34	17.34
Body510	Sun	2.9840e+27	1.375066e+08	2.027755e+11	2.720209e+11	730.28	513.18	68.86	0.79
Body511	Sun	9.7506e+27	1.623345e+08	9.918537e+11	1.281905e+12	7653.26	655.58	51.31	26.38
Body512	Sun	1.2738e+27	8.356769e+07	4.432100e+12	4.441100e+12	58999.76	138.68	15.09	7.77
Body513	Sun	1.7160e+27	1.196082e+08	3.810785e+12	5.083434e+12	59209.54	20.65	67.79	0.07
Body514	Sun	1.2979e+27	7.937646e+07	1.544113e+12	1.632159e+12	12635.91	633.91	21.26	27.00
Body515	Sun	8.0000e+27	1.598835e+08	1.629394e+12	2.296181e+12	17361.41	104.98	21.83	2.12
Body516	Sun	1.2476e+27	9.994441e+07	4.498045e+12	5.892541e+12	74763.56	709.46	74.63	2.68
Body517	Sun	5.6265e+27	1.456930e+08	1.345389e+12	1.806706e+12	12491.91	680.47	73.80	28.81
Body518	Sun	1.2278e+27	8.483313e+07	4.464944e+12	5.813771e+12	73559.40	574.96	2.87	20.32
Body519	Sun	4.9700e+26	5.941546e+07	1.799169e+12	2.318042e+12	18648.10	993.16	34.52	2.25
Body520	Sun	7.8775e+27	1.945021e+08	3.260011e+11	3.512374e+11	1244.06	197.48	4.06	7.60
Body521	Sun	6.3216e+27	1.486678e+08	4.804631e+12	6.242708e+12	81962.73	901.54	48.15	12.73
Body522	Sun	2.8044e+27	1.237767e+08	3.512293e+11	4.408422e+11	1573.54	359.71	69.62	15.23
Body523	Sun	6.9795e+27	1.683888e+08	5.521703e+12	5.963280e+12	86881.13	833.84	14.01	24.95
Body524	Sun	3.3246e+27	1.213427e+08	7.150888e+11	8.071467e+11	4192.30	593.21	12.35	27.33
Body525	Sun	4.9946e+27	1.288612e+08	4.620966e+12	4.941301e+12	66004.15	558.60	69.26	14.71
Body526	Sun	4.9843e+27	2.069668e+08	3.415904e+11	4.332453e+11	1522.45	105.41	44.42	4.28
Body527	Sun	6.9026e+27	1.384521e+08	2.094761e+11	3.014348e+11	815.17	541.16	72.12	12.51
Body528	Sun	7.9255e+27	2.177601e+08	5.755814e+12	6.052397e+12	90574.52	68.60	50.65	27.48
Body529	Sun	4.7923e+27	1.314340e+08	1.293689e+12	1.497756e+12	10410.55	871.18	66.37	21.01
Body530	Sun	7.0075e+27	1.389844e+08	3.774300e+12	4.075982e+12	49097.32	514.48	83.15	22.17
Body531	Sun	9.8403e+27	2.475908e+08	2.427816e+12	3.189774e+12	29720.42	174.65	32.48	25.70
Body532	Sun	3.3635e+27	1.298676e+08	1.801251e+12	2.410704e+12	19295.47	306.95	24.79	25.34
Body533	Sun	2.8571e+27	1.029924e+08	1.954455e+12	2.594830e+12	21659.32	28.98	17.72	19.58
Body534	Sun	6.1119e+26	7.769504e+07	3.113447e+12	4.135162e+12	43562.41	355.74	68.30	13.18
Body535	Sun	2.3865e+27	1.067921e+08	3.779959e+12	5.241255e+12	60482.17	723.57	25.67	17.60
Body536	Sun	8.3222e+27	2.297560e+08	2.460548e+12	2.612200e+12	25503.21	493.73	38.58	24.39
Body537	Sun	5.4014e+27	1.957588e+08	4.542039e+12	5.492414e+12	70952.95	971.24	59.09	27.34
Body538	Sun	5.5794e+26	6.605491e+07	4.986876e+12	6.482974e+12	86709.47	772.35	64.03	24.39
Body539	Sun	2.9906e+27	1.673447e+08	4.140386e+12	5.369098e+12	65458.40	982.38	69.44	29.63
Body540	Sun	5.7891e+27	1.499643e+08	9.443679e+11	1.099771e+12	6523.72	880.50	62.85	7.96
Body541	Sun	6.5857e+27	1.440767e+08	2.299805e+12	2.866108e+12	26209.00	763.63	76.98	11.65
Body542	Sun	4.1737e+26	5.891419e+07	3.715829e+12	4.373094e+12	51353.01	961.07	60.11	26.92
Body543	Sun	3.5093e+27	1.362400e+08	6.627940e+11	7.433351e+11	3721.93	676.56	23.63	25.43
Body544	Sun	1.0331e+27	8.207816e+07	3.255312e+12	4.529682e+12	48486.11	516.53	43.50	16.05
Body545	Sun	5.3155e+27	1.339974e+08	1.018039e+12	1.383897e+12	8309.44	894.50	12.18	16.73
Body546	Sun	1.3494e+27	1.102242e+08	1.020284e+12	1.047608e+12	6637.76	200.14	42.90	6.63
Body547	Sun	5.7317e+27	1.784442e+08	4.881118e+12	5.926226e+12	79306.43	874.42	81.82	13.25
Body548	Sun	8.6806e+27	1.912940e+08	1.133653e+12	1.429081e+12	9157.68	614.78	84.80	13.03
Body549	Sun	6.8074e+27	1.838697e+08	8.409856e+11	1.133192e+12	6191.69	388.46	75.01	27.59
Body550	Sun	1.9152e+27	1.061181e+08	2.200172e+12	2.715489e+12	24327.79	160.78	28.52	25.95
Body551	Sun	2.1321e+27	1.434144e+08	1.584228e+12	1.768669e+12	13704.41	607.50	45.34	15.35
Body552	Sun	1.3401e+27	1.136172e+08	5.523048e+12	6.384558e+12	91720.54	539.78	89.18	16.47
Body553	Sun	8.3198e+27	1.506738e+08	2.870153e+12	4.232012e+12	42248.96	994.04	20.29	16.72
Body554	Sun	7.7994e+27	1.974293e+08	2.724668e+12	3.045319e+12	30938.00	847.13	10.16	6.22
Body555	Sun	5.1260e+27	1.371726e+08	4.769441e+12	6.448956e+12	83873.76	238.68	2.70	28.33
Body556	Sun	7.8619e+27	1.902802e+08	6.208126e+11	7.365500e+11	3529.99	60.63	21.19	12.70
Body557	Sun	3.5760e+27	1.472795e+08	1.538017e+12	1.808062e+12	13662.63	475.17	58.51	12.59
Body558	Sun	3.5945e+27	1.271023e+08	3.381728e+12	4.164139e+12	46269.37	915.93	61.77	8.72
Body559	Sun	9.2349e+27	2.407114e+08	2.196219e+12	2.512280e+12	22806.24	954.18	40.25	9.30
Body560	Sun	2.6576e+27	1.112587e+08	1.996612e+12	2.593998e+12	21955.10	882.04	63.39	24.47
Body561	Sun	5.4702e+27	1.443673e+08	1.997901e+12	2.628394e+12	22211.60	522.89	73.47	16.00
Body562	Sun	3.1910e+27	1.250539e+08	4.993467e+12	5.154445e+12	72159.73	34.73	60.50	20.81
Body563	Sun	8.7807e+27	2.364753e+08	3.187868e+12	4.325019e+12	45966.37	862.21	75.56	23.92
Body564	Sun	3.7139e+27	1.384827e+08	1.130187e+12	1.645417e+12	10322.05	749.13	80.25	5.81
Body565	Sun	1.3946e+27	1.172864e+08	3.167369e+12	3.755141e+12	40656.06	18.64	59.48	15.00
Body566	Sun	6.2919e+27	2.160448e+08	3.742861e+11	5.590387e+11	2012.70	866.67	36.75	20.01
Body567	Sun	8.4028e+26	9.094047e+07	2.753443e+12	3.286386e+12	33133.46	741.81	5.58	18.74
Body568	Sun	9.4307e+27	1.690202e+08	4.536399e+12	4.921229e+12	64923.70	98.73	36.65	21.79
Body569	Sun	8.7512e+27	1.545129e+08	3.785615e+11	4.885882e+11	1802.48	261.19	76.42	26.91
Body570	Sun	5.6231e+27	1.365750e+08	2.932818e+11	4.110802e+11	1319.54	560.14	30.38	0.37
Body571	Sun	7.8225e+27	1.764672e+08	3.401620e+12	4.936774e+12	53746.92	622.13	6.22	25.70
Body572	Sun	2.2933e+26	4.763984e+07	1.930140e+12	2.406139e+12	20156.07	188.76	27.61	23.36
Body573	Sun	9.9831e+27	1.892180e+08	4.619933e+12	5.619017e+12	73132.95	896.93	23.99	0.81
Body574	Sun	6.6536e+26	6.935306e+07	1.278066e+11	1.449225e+11	317.93	294.11	13.03	14.10
Body575	Sun	8.7881e+27	2.247563e+08	1.377519e+12	1.726913e+12	12209.65	845.09	36.61	21.35
Body576	Sun	1.3519e+27	9.716654e+07	3.597008e+12	5.387831e+12	60116.72	757.89	20.02	10.16
Body577	Sun	5.6944e+27	1.454509e+08	5.569526e+11	5.852031e+11	2724.69	47.39	27.25	13.20
Body578	Sun	9.8463e+27	2.060244e+08	8.844992e+10	1.278618e+11	224.57	481.51	19.08	25.89
Body579	Sun	1.3957e+27	1.044535e+08	8.128223e+11	1.156979e+12	6171.11	646.14	56.74	15.79
Body580	Sun	8.6370e+27	2.039323e+08	3.795684e+11	5.435340e+11	1979.72	882.26	0.26	15.89
Body581	Sun	9.5963e+27	1.681805e+08	3.307188e+12	3.755470e+12	41896.93	584.04	69.78	12.73
Body582	Sun	6.3639e+27	1.418388e+08	9.473349e+10	1.267386e+11	232.65	610.52	69.74	17.06
Body583	Sun	7.6052e+27	1.493818e+08	3.171600e+12	4.231032e+12	44958.23	196.89	3.31	9.21
Body584	Sun	7.8389e+27	1.576130e+08	5.245162e+12	6.453331e+12	89315.07	68.45	77.22	21.37
Body585	Sun	4.6903e+27	1.534996e+08	4.655495e+12	5.664106e+12	73998.73	536.57	3.36	24.43
Body586	Sun	5.1027e+27	1.334465e+08	4.638016e+12	4.684403e+12	63536.44	993.87	24.69	5.45
Body587	Sun	1.6763e+26	6.249183e+07	3.291940e+12	4.336106e+12	47027.28	877.03	74.53	3.73
Body588	Sun	3.0922e+27	1.668517e+08	3.258337e+12	3.443964e+12	38731.63	180.67	13.66	10.66
Body589	Sun	8.7842e+27	1.587559e+08	4.574628e+12	6.670932e+12	84178.57	117.38	6.28	17.11
Body590	Sun	2.8358e+27	1.107324e+08	1.349358e+12	1.763634e+12	12260.18	865.25	73.17	4.49
Body591	Sun	7.4921e+27	1.432786e+08	4.226374e+12	4.586538e+12	58399.49	392.38	6.23	23.49
Body592	Sun	4.0808e+26	7.595546e+07	4.844239e+12	5.040209e+12	69367.90	691.15	13.10	7.18
Body593	Sun	2.6634e+27	1.119094e+08	3.188818e+12	3.729068e+12	40615.33	993.30	84.61	22.09
Body594	Sun	2.0537e+27	9.245059e+07	2.207264e+12	2.789723e+12	24934.01	513.23	50.29	27.39
Body595	Sun	4.8231e+27	1.291692e+08	3.709414e+12	4.775154e+12	55166.39	656.90	60.34	4.63
Body596	Sun	2.2349e+27	1.422886e+08	1.413145e+12	1.684331e+12	12168.64	691.28	57.24	13.59
Body597	Sun	2.4127e+27	1.266792e+08	5.621824e+11	7.012921e+11	3170.15	195.76	16.06	11.73
Body598	Sun	1.9189e+27	1.406166e+08	1.086210e+12	1.395944e+12	8729.17	724.38	29.30	19.29
Body599	Sun	7.4403e+27	1.521692e+08	3.975080e+12	4.040230e+12	50653.60	125.38	9.99	14.14
Body600	Sun	4.1264e+27	1.540578e+08	7.461191e+11	1.113518e+12	5660.73	697.72	59.26	19.87
Body601	Sun	5.0964e+27	1.604789e+08	6.994569e+11	7.221537e+11	3783.56	131.05	11.85	5.14
Body602	Sun	5.8429e+27	1.392262e+08	2.836608e+12	3.695388e+12	37264.80	140.43	23.97	0.47
Body603	Sun	6.3861e+27	1.400312e+08	1.022377e+12	1.074104e+12	6775.89	196.88	29.07	13.83
Body604	Sun	6.9074e+27	1.733678e+08	3.644665e+12	3.820532e+12	45529.39	875.67	21.58	9.02
Body605	Sun	2.2777e+27	9.814610e+07	6.218902e+11	7.150400e+11	3450.59	377.95	14.34	1.68
Body606	Sun	7.8112e+27	1.448301e+08	3.357480e+12	4.725713e+12	51298.46	163.44	82.11	15.70
Body607	Sun	1.6672e+27	9.799454e+07	4.424583e+11	6.241954e+11	2459.04	564.17	17.31	27.28
Body608	Sun	8.0527e+27	1.777253e+08	3.071975e+12	3.853214e+12	40679.66	278.50	71.09	14.87
Body609	Sun	5.9351e+27	2.031366e+08	4.715124e+12	6.917305e+12	88559.58	978.95	40.95	21.95
Body610	Sun	6.9975e+27	1.627862e+08	4.735623e+12	6.305377e+12	81892.19	364.33	26.24	24.90
Body611	Sun	4.1480e+27	1.300054e+08	2.878354e+12	4.074090e+12	40920.04	843.54	30.53	4.26
Body612	Sun	8.6256e+27	2.179435e+08	2.454831e+11	2.588656e+11	799.51	263.66	0.05	27.86
Body613	Sun	5.5879e+26	7.135781e+07	6.786723e+11	8.074939e+11	4044.18	449.03	24.08	9.05
Body614	Sun	4.7898e+27	1.404926e+08	2.851622e+12	3.251377e+12	33654.63	262.94	37.99	22.08
Body615	Sun	3.8986e+27	1.491472e+08	3.271041e+12	4.325671e+12	46737.82	334.23	46.32	25.32
Body616	Sun	6.5584e+27	1.481560e+08	2.138151e+12	2.670106e+12	23534.85	60.02	49.76	22.59
Body617	Sun	4.1267e+27	1.232920e+08	4.808372e+12	6.779994e+12	88056.86	74.78	89.83	19.65
Body618	Sun	7.3075e+27	1.463818e+08	2.728564e+12	3.093183e+12	31355.22	200.76	63.12	12.95
Body619	Sun	9.3858e+27	1.603639e+08	2.487899e+12	3.647216e+12	33920.64	446.58	26.05	24.68
Body620	Sun	8.0642e+26	8.033100e+07	6.565710e+10	8.949534e+10	136.42	101.95	58.06	23.57
Body621	Sun	1.5797e+27	9.161843e+07	1.813232e+12	2.090159e+12	17214.45	756.23	18.17	25.13
Body622	Sun	2.2774e+27	1.394495e+08	1.200200e+12	1.324505e+12	8954.60	548.78	23.98	21.61
Body623	Sun	1.5009e+27	1.098375e+08	3.217071e+12	4.481901e+12	47684.69	366.48	4.77	15.55
Body624	Sun	1.1641e+27	9.304218e+07	1.182022e+12	1.598088e+12	10347.20	97.49	9.73	27.26
Body625	Sun	2.3222e+27	1.362350e+08	2.597536e+12	2.945461e+12	29130.43	702.24	56.17	17.93
Body626	Sun	1.8177e+27	9.019185e+07	1.528284e+12	1.924995e+12	14324.43	671.35	49.91	21.03
Body627	Sun	9.9018e+27	1.950895e+08	4.202186e+12	5.302612e+12	65410.02	970.64	38.30	11.26
Body628	Sun	9.8070e+27	2.116687e+08	3.280393e+12	3.528699e+12	39661.01	350.50	15.53	15.33
Body629	Sun	7.0017e+27	1.575085e+08	2.916039e+12	3.993790e+12	40544.39	139.74	74.97	29.00
Body630	Sun	8.7760e+27	1.527673e+08	3.266674e+12	3.761149e+12	41587.34	328.44	69.06	25.43
Body631	Sun	5.0598e+27	1.836729e+08	4.857638e+12	6.474322e+12	85150.55	927.41	69.83	14.52
Body632	Sun	6.2093e+27	1.720525e+08	3.364843e+12	3.627442e+12	41272.29	903.75	40.06	18.97
Body633	Sun	3.1482e+27	1.191881e+08	4.289046e+12	5.985463e+12	73514.26	893.44	30.19	27.17
Body634	Sun	8.3756e+27	1.510933e+08	2.443548e+12	2.640116e+12	25585.57	173.41	61.83	20.20
Body635	Sun	8.2869e+27	2.503875e+08	1.933823e+12	2.385977e+12	20041.27	967.02	46.83	4.61
Body636	Sun	3.7081e+27	1.332281e+08	3.563228e+12	3.594214e+12	42743.16	324.21	57.42	10.06
Body637	Sun	3.6613e+27	1.838699e+08	2.579431e+12	2.955507e+12	29066.92	487.57	8.22	3.37
Body638	Sun	6.6554e+27	1.575340e+08	3.119769e+12	3.771060e+12	40377.29	578.39	15.94	22.75
Body639	Sun	6.7219e+27	1.477833e+08	4.266510e+12	5.927631e+12	72653.39	404.44	50.88	17.86
Body640	Sun	7.2872e+27	1.519513e+08	1.678077e+12	1.760825e+12	14235.07	711.50	44.06	1.84
Body641	Sun	5.2207e+27	1.832414e+08	5.543415e+11	6.293607e+11	2874.71	5.15	8.33	7.46
Body642	Sun	9.1980e+27	1.525688e+08	3.251267e+12	3.423772e+12	38495.56	151.15	32.71	15.80
Body643	Sun	1.1807e+27	1.209050e+08	2.491203e+12	2.969212e+12	28481.86	922.88	39.83	17.98
Body644	Sun	6.4049e+27	1.951658e+08	4.202506e+12	4.306468e+12	55404.58	407.29	45.96	11.40
Body645	Sun	5.2542e+27	1.410363e+08	2.779711e+12	3.191241e+12	32568.31	458.30	2.22	18.33
Body646	Sun	5.6813e+27	1.361348e+08	7.687999e+11	9.610805e+11	5078.72	629.88	3.57	21.58
Body647	Sun	3.5255e+27	1.374356e+08	4.527727e+12	4.990513e+12	65548.82	158.09	73.72	17.37
Body648	Sun	7.0856e+27	1.545076e+08	3.845073e+12	5.121056e+12	59929.05	217.61	29.73	24.82
Body649	Sun	6.1742e+27	1.378192e+08	1.245222e+12	1.612528e+12	10783.67	876.75	20.43	22.08
Body650	Sun	6.6324e+27	1.614260e+08	2.771048e+12	3.104675e+12	31792.29	394.43	6.08	15.28
Body651	Sun	6.6868e+27	1.376341e+08	4.367523e+12	4.673542e+12	60681.91	753.77	61.12	12.42
Body652	Sun	6.3386e+27	2.208530e+08	3.839817e+12	4.230381e+12	51174.81	176.68	11.40	26.13
Body653	Sun	1.6689e+27	9.367836e+07	9.001984e+11	9.149274e+11	5458.71	917.13	18.81	13.82
Body654	Sun	4.7040e+27	1.275828e+08	1.970757e+12	2.353976e+12	20075.62	882.47	37.34	28.14
Body655	Sun	5.0980e+25	4.329185e+07	2.783611e+12	3.427494e+12	34552.79	304.55	52.98	17.83
Body656	Sun	7.5974e+27	1.941819e+08	4.417107e+12	5.015281e+12	64663.97	837.16	40.53	8.50
Body657	Sun	5.0519e+27	1.383635e+08	7.701783e+11	8.450197e+11	4582.14	599.52	75.70	12.27
Body658	Sun	9.9969e+27	1.883477e+08	1.063394e+12	1.335193e+12	8292.07	633.75	85.60	7.71
Body659	Sun	5.2319e+27	1.650010e+08	4.821863e+12	5.420945e+12	73174.29	455.54	63.22	1.13
Body660	Sun	4.7749e+27	1.517307e+08	2.240457e+12	2.976753e+12	26600.35	805.38	77.73	17.03
Body661	Sun	6.3963e+27	1.526777e+08	1.674788e+12	2.490453e+12	18975.36	245.28	26.86	27.12
Body662	Sun	1.4923e+27	8.483736e+07	1.224671e+12	1.562803e+12	10388.34	674.38	51.79	18.21
Body663	Sun	1.5073e+27	8.880411e+07	1.276972e+11	1.634279e+11	350.63	758.28	1.39	14.32
Body664	Sun	2.3643e+27	9.770247e+07	1.369707e+12	1.743196e+12	12259.65	624.33	44.32	10.88
Body665	Sun	5.3549e+27	2.055558e+08	2.814531e+12	2.864813e+12	30211.84	81.91	69.88	20.74
Body666	Sun	8.3731e+27	1.848860e+08	1.482582e+12	1.952153e+12	14209.21	796.93	85.34	24.98
Body667	Sun	9.5599e+27	1.903878e+08	1.452929e+12	1.472777e+12	11170.59	465.53	49.76	5.03
Body668	Sun	6.6794e+26	6.605657e+07	2.984200e+12	3.159897e+12	33995.15	297.74	29.81	20.92
Body669	Sun	5.3302e+27	1.316435e+08	2.663686e+12	3.980973e+12	38233.05	737.59	7.05	27.13
Body670	Sun	2.9925e+27	1.051898e+08	5.279249e+12	6.345022e+12	88466.43	856.25	60.94	2.63
Body671	Sun	9.0228e+27	1.946070e+08	3.002972e+11	3.440762e+11	1154.61	902.44	58.09	5.84
Body672	Sun	9.5814e+27	1.638682e+08	5.057836e+12	5.345707e+12	74903.45	731.22	35.06	28.08
Body673	Sun	2.1537e+27	1.070105e+08	1.188487e+12	1.629851e+12	10561.35	140.89	69.30	3.57
Body674	Sun	6.2525e+25	3.214986e+07	5.185267e+12	5.374875e+12	76601.01	647.48	47.40	14.56
Body675	Sun	2.5174e+27	1.166774e+08	2.412024e+11	3.248249e+11	950.57	456.21	18.91	26.50
Body676	Sun	4.0505e+27	1.237642e+08	2.618564e+12	3.085215e+12	30407.02	380.44	31.81	26.29
Body677	Sun	9.4788e+27	2.132649e+08	3.351775e+12	4.232062e+12	46619.04	971.46	60.46	4.02
Body678	Sun	3.0784e+27	1.174746e+08	1.444552e+12	1.474426e+12	11132.08	148.08	37.31	24.66
Body679	Sun	1.6942e+27	1.201494e+08	5.942706e+11	7.394723e+11	3438.26	611.92	76.36	24.93
Body680	Sun	8.7717e+25	3.832669e+07	6.845705e+11	9.753237e+11	4773.65	387.43	65.14	18.47
Body681	Sun	8.1771e+27	2.313155e+08	1.223327e+12	1.585633e+12	10508.68	824.41	40.35	23.20
Body682	Sun	7.4057e+27	1.992783e+08	2.353609e+12	2.834605e+12	26378.90	483.04	33.86	25.84
Body683	Sun	7.8556e+27	2.052743e+08	3.647354e+12	5.057733e+12	57331.01	810.47	50.86	12.81
Body684	Sun	8.1124e+27	1.484110e+08	4.365112e+12	6.281041e+12	77538.77	213.23	64.60	18.83
Body685	Sun	5.8704e+27	2.092262e+08	4.163441e+12	5.524861e+12	67313.38	761.60	66.41	5.50
Body686	Sun	2.8150e+27	1.050999e+08	4.538952e+12	6.121617e+12	77696.33	435.71	64.51	4.02
Body687	Sun	4.0620e+26	5.531827e+07	1.733032e+12	2.066308e+12	16530.74	857.13	44.62	10.35
Body688	Sun	5.9277e+27	1.609569e+08	6.336067e+11	8.969886e+11	4226.89	979.01	47.68	26.91
Body689	Sun	6.5196e+27	1.696649e+08	1.047445e+12	1.277087e+12	7911.04	280.25	15.41	15.53
Body690	Sun	3.1449e+27	1.212097e+08	2.382868e+12	2.688498e+12	25492.79	297.09	1.98	8.76
Body691	Sun	4.4939e+27	1.208670e+08	1.800254e+12	1.926335e+12	16058.21	584.51	16.48	29.51
Body692	Sun	5.0917e+27	1.256073e+08	3.391585e+12	3.976175e+12	44640.91	451.13	12.61	22.70
Body693	Sun	3.2668e+27	1.078502e+08	3.302254e+12	4.453776e+12	48215.77	556.43	35.71	4.20
Body694	Sun	3.4787e+27	1.329652e+08	4.853137e+12	6.739991e+12	88111.15	828.99	43.15	29.55
Body695	Sun	8.8157e+27	1.754733e+08	3.332440e+11	4.445674e+11	1531.23	901.59	67.74	24.27
Body696	Sun	6.2785e+27	1.936547e+08	4.958086e+11	5.810640e+11	2494.46	802.84	32.06	3.94
Body697	Sun	9.1696e+27	1.525752e+08	3.581007e+12	3.665854e+12	43546.65	10.53	85.66	0.60
Body698	Sun	2.9246e+27	1.141391e+08	2.501529e+12	3.000833e+12	28810.68	925.92	79.83	12.08
Body699	Sun	2.6760e+27	1.239196e+08	5.310446e+12	6.174615e+12	86882.00	813.56	4.27	9.93
Body700	Sun	7.3130e+27	2.083695e+08	6.570099e+11	9.268078e+11	4449.26	581.01	44.98	3.09
Body701	Sun	9.0386e+27	1.539921e+08	2.706233e+12	3.070032e+12	30988.50	147.55	5.16	29.74
Body702	Sun	2.4557e+27	1.358998e+08	6.731125e+11	7.724482e+11	3879.58	441.90	70.20	0.60
Body703	Sun	9.8671e+27	1.790456e+08	1.072904e+12	1.247770e+12	7891.35	777.70	24.50	29.43
Body704	Sun	9.2107e+27	1.833387e+08	6.380349e+11	7.069881e+11	3481.97	862.24	70.84	12.06
Body705	Sun	1.6406e+27	9.710775e+07	2.870417e+12	4.078777e+12	40891.36	508.68	73.65	11.34
Body706	Sun	7.5797e+27	1.472274e+08	4.860175e+12	5.444021e+12	73833.10	25.35	78.80	19.52
Body707	Sun	6.0512e+27	1.970819e+08	2.551787e+12	3.218329e+12	30939.03	931.30	27.02	1.88
Body708	Sun	7.7604e+27	2.411263e+08	1.880993e+12	2.258583e+12	18800.25	750.79	75.63	3.87
Body709	Sun	1.8411e+27	1.062471e+08	3.306299e+12	3.499351e+12	39630.94	91.86	3.35	25.35
Body710	Sun	6.3238e+27	2.024647e+08	8.654553e+11	1.226677e+12	6754.82	981.95	59.79	20.59
Body711	Sun	9.0051e+26	8.976899e+07	2.726178e+11	2.726592e+11	898.78	87.33	63.28	18.95
Body712	Sun	2.3325e+27	1.004298e+08	1.283776e+12	1.737759e+12	11723.88	871.05	74.67	5.61
Body713	Sun	9.6504e+27	1.910807e+08	3.096210e+12	4.180332e+12	43814.47	60.38	63.21	19.55
Body714	Sun	2.1050e+27	9.641996e+07	9.369198e+11	9.820168e+11	5933.64	550.74	25.22	7.80
Body715	Sun	6.1676e+27	1.447490e+08	1.099343e+12	1.406636e+12	8855.15	834.86	32.89	14.34
Body716	Sun	6.0717e+27	1.499353e+08	4.470437e+12	4.911575e+12	64146.63	686.67	78.77	16.16
Body717	Sun	2.2645e+27	1.079736e+08	2.009431e+11	2.960652e+11	782.12	903.97	85.77	8.37
Body718	Sun	6.4039e+27	1.350121e+08	4.755906e+12	6.593310e+12	85345.12	402.94	20.72	7.07
Body719	Sun	9.2489e+27	1.721156e+08	3.113365e+12	4.426173e+12	46211.17	246.39	37.36	8.06
Body720	Sun	4.4981e+27	1.500720e+08	5.363544e+12	6.014225e+12	85667.40	781.92	23.35	21.16
Body721	Sun	6.4190e+26	7.125502e+07	4.137724e+12	5.296837e+12	64686.32	785.26	19.99	21.22
Body722	Sun	7.0734e+27	2.153562e+08	1.105768e+12	1.492155e+12	9346.94	121.08	27.67	23.35
Body723	Sun	9.9759e+27	1.648708e+08	1.673866e+12	1.768920e+12	14259.19	790.53	29.90	25.24
Body724	Sun	3.4584e+27	1.299170e+08	4.189965e+12	5.421967e+12	66519.04	807.60	79.73	20.44
Body725	Sun	8.4461e+27	1.983083e+08	4.642949e+12	5.130437e+12	68202.06	606.68	41.89	27.75
Body726	Sun	1.4119e+27	1.039193e+08	1.665998e+12	2.268914e+12	17423.38	727.13	88.89	8.30
Body727	Sun	2.7468e+27	1.150489e+08	1.874535e+12	2.246815e+12	18676.22	636.58	79.62	26.91
Body728	Sun	6.9727e+27	1.583555e+08	3.868263e+12	4.571330e+12	54728.33	444.27	77.64	9.34
Body729	Sun	4.4448e+27	1.205273e+08	3.734815e+12	4.761866e+12	55284.56	389.00	27.25	9.05
Body730	Sun	6.9058e+27	2.070975e+08	1.782753e+12	1.844916e+12	15423.09	813.56	4.16	9.75
